Country_Name,Deaths,Confirmed
Afghanistan,7144,153626
Albania,2523,152239
Algeria,5471,198645
Andorra,130,15070
Angola,1299,49114
Antigua and Barbuda,47,1960
Argentina,112851,5211801
Armenia,4939,245765
Australia,3,548
Australia,201,37724
Australia,0,203
Australia,7,1991
Australia,4,888
Australia,13,235
Australia,823,23641
Australia,9,1087
Austria,10812,698948
Azerbaijan,5920,447725
Bahamas,453,19035
Bahrain,1388,273252
Bangladesh,26684,1519805
Barbados,51,5486
Belarus,3859,493818
Belgium,0,158326
Belgium,0,157106
Belgium,0,136992
Belgium,0,94934
Belgium,0,169617
Belgium,0,141502
Belgium,0,67564
Belgium,0,33280
Belgium,0,62424
Belgium,25428,23520
Belgium,0,46153
Belgium,0,107085
Belize,369,17119
Benin,135,16946
Bhutan,3,2596
Bolivia,18514,493115
Bosnia and Herzegovina,9919,218080
Botswana,2309,162186
Brazil,1815,87899
Brazil,6111,236840
Brazil,1959,122547
Brazil,13697,425063
Brazil,26583,1224498
Brazil,24085,933732
Brazil,10156,476789
Brazil,12317,567589
Brazil,22702,829148
Brazil,10073,351398
Brazil,13326,521450
Brazil,9434,370224
Brazil,53323,2081186
Brazil,16512,585515
Brazil,9220,436098
Brazil,37830,1470333
Brazil,19476,610980
Brazil,6963,317558
Brazil,7286,365736
Brazil,34350,1414422
Brazil,63312,1140025
Brazil,6490,263904
Brazil,1957,124441
Brazil,18831,1163834
Brazil,146595,4295149
Brazil,6001,277589
Brazil,3704,220290
Brunei,16,3567
Bulgaria,19270,464715
Burkina Faso,171,13868
Burma,16082,420402
Burundi,38,12585
Cabo Verde,317,36086
Cambodia,1981,96339
Cameroon,1357,84210
Canada,2407,261888
Canada,1842,170750
Canada,1,0
Canada,0,13
Canada,1198,59000
Canada,47,2852
Canada,7,1511
Canada,1,499
Canada,94,6076
Canada,4,658
Canada,9607,578708
Canada,0,235
Canada,11293,393852
Canada,0,13
Canada,613,56838
Canada,8,696
Central African Republic,100,11296
